Code,ScheduleWeightMinutes,Description
128723,435,07:30-15:15 (11:00-11:30)
128724,435,07:30-15:15 (11:15-11:45)
128725,435,07:30-15:15 (11:30-12:00)
128726,435,07:30-15:15 (11:45-12:15)
128727,435,07:30-15:15 (12:00-12:30)
128728,435,07:30-15:15 (12:15-12:45)
128729,435,07:30-15:15 (12:30-13:00)
128730,435,07:30-15:30 (09:45-10:30)
128731,435,07:30-15:30 (10:00-10:45)
128732,435,07:30-15:30 (10:15-11:00)
128733,435,07:30-15:30 (10:30-11:15)
128734,435,07:30-15:30 (10:45-11:30)
128735,435,07:30-15:30 (11:00-11:45)
128736,435,07:30-15:30 (11:15-12:00)
128737,435,07:30-15:30 (11:30-12:15)
128738,435,07:30-15:30 (11:45-12:30)
128739,435,07:30-15:30 (12:00-12:45)
128740,435,07:30-15:30 (12:15-13:00)
128741,435,07:30-15:30 (12:30-13:15)
128742,435,07:30-15:45 (09:45-10:45)
128743,435,07:30-15:45 (10:00-11:00)
128744,435,07:30-15:45 (10:15-11:15)
128745,435,07:30-15:45 (10:30-11:30)
128746,435,07:30-15:45 (10:45-11:45)
128747,435,07:30-15:45 (11:00-12:00)
128748,435,07:30-15:45 (11:15-12:15)
128749,435,07:30-15:45 (11:30-12:30)
128750,435,07:30-15:45 (11:45-12:45)
128751,435,07:30-15:45 (12:00-13:00)
128752,435,07:30-15:45 (12:15-13:15)
128753,435,07:30-15:45 (12:30-13:30)
128754,435,07:30-16:00 (09:45-11:00)
128755,435,07:30-16:00 (10:00-11:15)
128756,435,07:30-16:00 (10:15-11:30)
128757,435,07:30-16:00 (10:30-11:45)
128758,435,07:30-16:00 (10:45-12:00)
128759,435,07:30-16:00 (11:00-12:15)
128760,435,07:30-16:00 (11:15-12:30)
128761,435,07:30-16:00 (11:30-12:45)
128762,435,07:30-16:00 (11:45-13:00)
128763,435,07:30-16:00 (12:00-13:15)
128764,435,07:30-16:00 (12:15-13:30)
128765,435,07:30-16:00 (12:30-13:45)
128766,435,07:30-16:15 (09:45-11:15)
128767,435,07:30-16:15 (10:00-11:30)
128768,435,07:30-16:15 (10:15-11:45)
128769,435,07:30-16:15 (10:30-12:00)
128770,435,07:30-16:15 (10:45-12:15)
128771,435,07:30-16:15 (11:00-12:30)
128772,435,07:30-16:15 (11:15-12:45)
128773,435,07:30-16:15 (11:30-13:00)
128774,435,07:30-16:15 (11:45-13:15)
128775,435,07:30-16:15 (12:00-13:30)
128776,435,07:30-16:15 (12:15-13:45)
128777,435,07:30-16:15 (12:30-14:00)
128778,435,07:30-16:30 (09:45-11:30)
128779,435,07:30-16:30 (10:00-11:45)
128780,435,07:30-16:30 (10:15-12:00)
128781,435,07:30-16:30 (10:30-12:15)
128782,435,07:30-16:30 (10:45-12:30)
128783,435,07:30-16:30 (11:00-12:45)
128784,435,07:30-16:30 (11:15-13:00)
128785,435,07:30-16:30 (11:30-13:15)
128786,435,07:30-16:30 (11:45-13:30)
128787,435,07:30-16:30 (12:00-13:45)
128788,435,07:30-16:30 (12:15-14:00)
128789,435,07:30-16:30 (12:30-14:15)
128790,435,07:30-16:45 (09:45-11:45)
128791,435,07:30-16:45 (10:00-12:00)
128792,435,07:30-16:45 (10:15-12:15)
128793,435,07:30-16:45 (10:30-12:30)
128794,435,07:30-16:45 (10:45-12:45)
128795,435,07:30-16:45 (11:00-13:00)
128796,435,07:30-16:45 (11:15-13:15)
128797,435,07:30-16:45 (11:30-13:30)
128798,435,07:30-16:45 (11:45-13:45)
128799,435,07:30-16:45 (12:00-14:00)
128800,435,07:30-16:45 (12:15-14:15)
128801,435,07:30-16:45 (12:30-14:30)
128802,450,07:30-15:30 (10:00-10:30)
128803,450,07:30-15:30 (10:15-10:45)
128804,450,07:30-15:30 (10:30-11:00)
128805,450,07:30-15:30 (10:45-11:15)
128806,450,07:30-15:30 (11:00-11:30)
128807,450,07:30-15:30 (11:15-11:45)
128808,450,07:30-15:30 (11:30-12:00)
128809,450,07:30-15:30 (11:45-12:15)
128810,450,07:30-15:30 (12:00-12:30)
128811,450,07:30-15:30 (12:15-12:45)
128812,450,07:30-15:30 (12:30-13:00)
128813,450,07:30-15:45 (10:00-10:45)
128814,450,07:30-15:45 (10:15-11:00)
128815,450,07:30-15:45 (10:30-11:15)
128816,450,07:30-15:45 (10:45-11:30)
128817,450,07:30-15:45 (11:00-11:45)
128818,450,07:30-15:45 (11:15-12:00)
128819,450,07:30-15:45 (11:30-12:15)
128820,450,07:30-15:45 (11:45-12:30)
128821,450,07:30-15:45 (12:00-12:45)
128822,450,07:30-15:45 (12:15-13:00)
128823,450,07:30-15:45 (12:30-13:15)
128824,450,07:30-16:00 (10:00-11:00)
128825,450,07:30-16:00 (10:15-11:15)
128826,450,07:30-16:00 (10:30-11:30)
128827,450,07:30-16:00 (10:45-11:45)
128828,450,07:30-16:00 (11:00-12:00)
128829,450,07:30-16:00 (11:15-12:15)
128830,450,07:30-16:00 (11:30-12:30)
128831,450,07:30-16:00 (11:45-12:45)
128832,450,07:30-16:00 (12:00-13:00)
128833,450,07:30-16:00 (12:15-13:15)
128834,450,07:30-16:00 (12:30-13:30)
128835,450,07:30-16:15 (10:00-11:15)
128836,450,07:30-16:15 (10:15-11:30)
128837,450,07:30-16:15 (10:30-11:45)
128838,450,07:30-16:15 (10:45-12:00)
128839,450,07:30-16:15 (11:00-12:15)
128840,450,07:30-16:15 (11:15-12:30)
128841,450,07:30-16:15 (11:30-12:45)
128842,450,07:30-16:15 (11:45-13:00)
128843,450,07:30-16:15 (12:00-13:15)
128844,450,07:30-16:15 (12:15-13:30)
128845,450,07:30-16:15 (12:30-13:45)
128846,450,07:30-16:30 (10:00-11:30)
128847,450,07:30-16:30 (10:15-11:45)
128848,450,07:30-16:30 (10:30-12:00)
128849,450,07:30-16:30 (10:45-12:15)
128850,450,07:30-16:30 (11:00-12:30)
128851,450,07:30-16:30 (11:15-12:45)
128852,450,07:30-16:30 (11:30-13:00)
128853,450,07:30-16:30 (11:45-13:15)
128854,450,07:30-16:30 (12:00-13:30)
128855,450,07:30-16:30 (12:15-13:45)
128856,450,07:30-16:30 (12:30-14:00)
128857,450,07:30-16:45 (10:00-11:45)
128858,450,07:30-16:45 (10:15-12:00)
128859,450,07:30-16:45 (10:30-12:15)
128860,450,07:30-16:45 (10:45-12:30)
128861,450,07:30-16:45 (11:00-12:45)
128862,450,07:30-16:45 (11:15-13:00)
128863,450,07:30-16:45 (11:30-13:15)
128864,450,07:30-16:45 (11:45-13:30)
128865,450,07:30-16:45 (12:00-13:45)
128866,450,07:30-16:45 (12:15-14:00)
128867,450,07:30-16:45 (12:30-14:15)
128868,450,07:30-17:00 (10:00-12:00)
128869,450,07:30-17:00 (10:15-12:15)
128870,450,07:30-17:00 (10:30-12:30)
128871,450,07:30-17:00 (10:45-12:45)
128872,450,07:30-17:00 (11:00-13:00)
128873,450,07:30-17:00 (11:15-13:15)
128874,450,07:30-17:00 (11:30-13:30)
128875,450,07:30-17:00 (11:45-13:45)
128876,450,07:30-17:00 (12:00-14:00)
128877,450,07:30-17:00 (12:15-14:15)
128878,450,07:30-17:00 (12:30-14:30)
128879,465,07:30-15:45 (10:15-10:45)
128880,465,07:30-15:45 (10:30-11:00)
128881,465,07:30-15:45 (10:45-11:15)
128882,465,07:30-15:45 (11:00-11:30)
128883,465,07:30-15:45 (11:15-11:45)
128884,465,07:30-15:45 (11:30-12:00)
128885,465,07:30-15:45 (11:45-12:15)
128886,465,07:30-15:45 (12:00-12:30)
128887,465,07:30-15:45 (12:15-12:45)
128888,465,07:30-15:45 (12:30-13:00)
128889,465,07:30-16:00 (10:15-11:00)
128890,465,07:30-16:00 (10:30-11:15)
128891,465,07:30-16:00 (10:45-11:30)
128892,465,07:30-16:00 (11:00-11:45)
128893,465,07:30-16:00 (11:15-12:00)
128894,465,07:30-16:00 (11:30-12:15)
128895,465,07:30-16:00 (11:45-12:30)
128896,465,07:30-16:00 (12:00-12:45)
128897,465,07:30-16:00 (12:15-13:00)
128898,465,07:30-16:00 (12:30-13:15)
128899,465,07:30-16:15 (10:15-11:15)
128900,465,07:30-16:15 (10:30-11:30)
128901,465,07:30-16:15 (10:45-11:45)
128902,465,07:30-16:15 (11:00-12:00)
128903,465,07:30-16:15 (11:15-12:15)
128904,465,07:30-16:15 (11:30-12:30)
128905,465,07:30-16:15 (11:45-12:45)
128906,465,07:30-16:15 (12:00-13:00)
128907,465,07:30-16:15 (12:15-13:15)
128908,465,07:30-16:15 (12:30-13:30)
128909,465,07:30-16:30 (10:15-11:30)
128910,465,07:30-16:30 (10:30-11:45)
128911,465,07:30-16:30 (10:45-12:00)
128912,465,07:30-16:30 (11:00-12:15)
128913,465,07:30-16:30 (11:15-12:30)
128914,465,07:30-16:30 (11:30-12:45)
128915,465,07:30-16:30 (11:45-13:00)
128916,465,07:30-16:30 (12:00-13:15)
128917,465,07:30-16:30 (12:15-13:30)
128918,465,07:30-16:30 (12:30-13:45)
128919,465,07:30-16:45 (10:15-11:45)
128920,465,07:30-16:45 (10:30-12:00)
128921,465,07:30-16:45 (10:45-12:15)
128922,465,07:30-16:45 (11:00-12:30)
128923,465,07:30-16:45 (11:15-12:45)
128924,465,07:30-16:45 (11:30-13:00)
128925,465,07:30-16:45 (11:45-13:15)
128926,465,07:30-16:45 (12:00-13:30)
128927,465,07:30-16:45 (12:15-13:45)
128928,465,07:30-16:45 (12:30-14:00)
128929,465,07:30-17:00 (10:15-12:00)
128930,465,07:30-17:00 (10:30-12:15)
128931,465,07:30-17:00 (10:45-12:30)
128932,465,07:30-17:00 (11:00-12:45)
128933,465,07:30-17:00 (11:15-13:00)
128934,465,07:30-17:00 (11:30-13:15)
128935,465,07:30-17:00 (11:45-13:30)
128936,465,07:30-17:00 (12:00-13:45)
128937,465,07:30-17:00 (12:15-14:00)
128938,465,07:30-17:00 (12:30-14:15)
128939,465,07:30-17:15 (10:15-12:15)
128940,465,07:30-17:15 (10:30-12:30)
128941,465,07:30-17:15 (10:45-12:45)
128942,465,07:30-17:15 (11:00-13:00)
128943,465,07:30-17:15 (11:15-13:15)
128944,465,07:30-17:15 (11:30-13:30)
128945,465,07:30-17:15 (11:45-13:45)
128946,465,07:30-17:15 (12:00-14:00)
128947,465,07:30-17:15 (12:15-14:15)
128948,465,07:30-17:15 (12:30-14:30)
128949,480,07:30-16:00 (10:30-11:00)
128950,480,07:30-16:00 (10:45-11:15)
128951,480,07:30-16:00 (11:00-11:30)
128952,480,07:30-16:00 (11:15-11:45)
128953,480,07:30-16:00 (11:30-12:00)
128954,480,07:30-16:00 (11:45-12:15)
128955,480,07:30-16:00 (12:00-12:30)
128956,480,07:30-16:00 (12:15-12:45)
128957,480,07:30-16:00 (12:30-13:00)
128958,480,07:30-16:15 (10:30-11:15)
128959,480,07:30-16:15 (10:45-11:30)
128960,480,07:30-16:15 (11:00-11:45)
128961,480,07:30-16:15 (11:15-12:00)
128962,480,07:30-16:15 (11:30-12:15)
128963,480,07:30-16:15 (11:45-12:30)
128964,480,07:30-16:15 (12:00-12:45)
128965,480,07:30-16:15 (12:15-13:00)
128966,480,07:30-16:15 (12:30-13:15)
128967,480,07:30-16:30 (10:30-11:30)
128968,480,07:30-16:30 (10:45-11:45)
128969,480,07:30-16:30 (11:00-12:00)
128970,480,07:30-16:30 (11:15-12:15)
128971,480,07:30-16:30 (11:30-12:30)
128972,480,07:30-16:30 (11:45-12:45)
128973,480,07:30-16:30 (12:00-13:00)
128974,480,07:30-16:30 (12:15-13:15)
128975,480,07:30-16:30 (12:30-13:30)
128976,480,07:30-16:45 (10:30-11:45)
128977,480,07:30-16:45 (10:45-12:00)
128978,480,07:30-16:45 (11:00-12:15)
128979,480,07:30-16:45 (11:15-12:30)
128980,480,07:30-16:45 (11:30-12:45)
128981,480,07:30-16:45 (11:45-13:00)
128982,480,07:30-16:45 (12:00-13:15)
128983,480,07:30-16:45 (12:15-13:30)
128984,480,07:30-16:45 (12:30-13:45)
128985,480,07:30-17:00 (10:30-12:00)
128986,480,07:30-17:00 (10:45-12:15)
128987,480,07:30-17:00 (11:00-12:30)
128988,480,07:30-17:00 (11:15-12:45)
128989,480,07:30-17:00 (11:30-13:00)
128990,480,07:30-17:00 (11:45-13:15)
128991,480,07:30-17:00 (12:00-13:30)
128992,480,07:30-17:00 (12:15-13:45)
128993,480,07:30-17:00 (12:30-14:00)
128994,480,07:30-17:15 (10:30-12:15)
128995,480,07:30-17:15 (10:45-12:30)
128996,480,07:30-17:15 (11:00-12:45)
128997,480,07:30-17:15 (11:15-13:00)
128998,480,07:30-17:15 (11:30-13:15)
128999,480,07:30-17:15 (11:45-13:30)
129000,480,07:30-17:15 (12:00-13:45)
129001,480,07:30-17:15 (12:15-14:00)
129002,480,07:30-17:15 (12:30-14:15)
129003,480,07:30-17:30 (10:30-12:30)
129004,480,07:30-17:30 (10:45-12:45)
129005,480,07:30-17:30 (11:00-13:00)
129006,480,07:30-17:30 (11:15-13:15)
129007,480,07:30-17:30 (11:30-13:30)
129008,480,07:30-17:30 (11:45-13:45)
129009,480,07:30-17:30 (12:00-14:00)
129010,480,07:30-17:30 (12:15-14:15)
129011,480,07:30-17:30 (12:30-14:30)
129012,495,07:30-16:15 (10:45-11:15)
129013,495,07:30-16:15 (11:00-11:30)
129014,495,07:30-16:15 (11:15-11:45)
129015,495,07:30-16:15 (11:30-12:00)
129016,495,07:30-16:15 (11:45-12:15)
129017,495,07:30-16:15 (12:00-12:30)
129018,495,07:30-16:15 (12:15-12:45)
129019,495,07:30-16:15 (12:30-13:00)
129020,495,07:30-16:30 (10:45-11:30)
129021,495,07:30-16:30 (11:00-11:45)
129022,495,07:30-16:30 (11:15-12:00)
129023,495,07:30-16:30 (11:30-12:15)
129024,495,07:30-16:30 (11:45-12:30)
129025,495,07:30-16:30 (12:00-12:45)
129026,495,07:30-16:30 (12:15-13:00)
129027,495,07:30-16:30 (12:30-13:15)
129028,495,07:30-16:45 (10:45-11:45)
129029,495,07:30-16:45 (11:00-12:00)
129030,495,07:30-16:45 (11:15-12:15)
129031,495,07:30-16:45 (11:30-12:30)
129032,495,07:30-16:45 (11:45-12:45)
129033,495,07:30-16:45 (12:00-13:00)
129034,495,07:30-16:45 (12:15-13:15)
129035,495,07:30-16:45 (12:30-13:30)
129036,495,07:30-17:00 (10:45-12:00)
129037,495,07:30-17:00 (11:00-12:15)
129038,495,07:30-17:00 (11:15-12:30)
129039,495,07:30-17:00 (11:30-12:45)
129040,495,07:30-17:00 (11:45-13:00)
129041,495,07:30-17:00 (12:00-13:15)
129042,495,07:30-17:00 (12:15-13:30)
129043,495,07:30-17:00 (12:30-13:45)
129044,495,07:30-17:15 (10:45-12:15)
129045,495,07:30-17:15 (11:00-12:30)
129046,495,07:30-17:15 (11:15-12:45)
129047,495,07:30-17:15 (11:30-13:00)
129048,495,07:30-17:15 (11:45-13:15)
129049,495,07:30-17:15 (12:00-13:30)
129050,495,07:30-17:15 (12:15-13:45)
129051,495,07:30-17:15 (12:30-14:00)
129052,495,07:30-17:30 (10:45-12:30)
129053,495,07:30-17:30 (11:00-12:45)
129054,495,07:30-17:30 (11:15-13:00)
129055,495,07:30-17:30 (11:30-13:15)
129056,495,07:30-17:30 (11:45-13:30)
129057,495,07:30-17:30 (12:00-13:45)
129058,495,07:30-17:30 (12:15-14:00)
129059,495,07:30-17:30 (12:30-14:15)
129060,495,07:30-17:45 (10:45-12:45)
129061,495,07:30-17:45 (11:00-13:00)
129062,495,07:30-17:45 (11:15-13:15)
129063,495,07:30-17:45 (11:30-13:30)
129064,495,07:30-17:45 (11:45-13:45)
129065,495,07:30-17:45 (12:00-14:00)
129066,495,07:30-17:45 (12:15-14:15)
129067,495,07:30-17:45 (12:30-14:30)
129068,510,07:30-16:30 (11:00-11:30)
129069,510,07:30-16:30 (11:15-11:45)
129070,510,07:30-16:30 (11:30-12:00)
129071,510,07:30-16:30 (11:45-12:15)
129072,510,07:30-16:30 (12:00-12:30)
129073,510,07:30-16:30 (12:15-12:45)
129074,510,07:30-16:30 (12:30-13:00)
129075,510,07:30-16:45 (11:00-11:45)
129076,510,07:30-16:45 (11:15-12:00)
129077,510,07:30-16:45 (11:30-12:15)
129078,510,07:30-16:45 (11:45-12:30)
129079,510,07:30-16:45 (12:00-12:45)
129080,510,07:30-16:45 (12:15-13:00)
129081,510,07:30-16:45 (12:30-13:15)
129082,510,07:30-17:00 (11:00-12:00)
129083,510,07:30-17:00 (11:15-12:15)
129084,510,07:30-17:00 (11:30-12:30)
129085,510,07:30-17:00 (11:45-12:45)
129086,510,07:30-17:00 (12:00-13:00)
129087,510,07:30-17:00 (12:15-13:15)
129088,510,07:30-17:00 (12:30-13:30)
129089,510,07:30-17:15 (11:00-12:15)
129090,510,07:30-17:15 (11:15-12:30)
129091,510,07:30-17:15 (11:30-12:45)
129092,510,07:30-17:15 (11:45-13:00)
129093,510,07:30-17:15 (12:00-13:15)
129094,510,07:30-17:15 (12:15-13:30)
129095,510,07:30-17:15 (12:30-13:45)
129096,510,07:30-17:30 (11:00-12:30)
129097,510,07:30-17:30 (11:15-12:45)
129098,510,07:30-17:30 (11:30-13:00)
129099,510,07:30-17:30 (11:45-13:15)
129100,510,07:30-17:30 (12:00-13:30)
129101,510,07:30-17:30 (12:15-13:45)
129102,510,07:30-17:30 (12:30-14:00)
129103,510,07:30-17:45 (11:00-12:45)
129104,510,07:30-17:45 (11:15-13:00)
129105,510,07:30-17:45 (11:30-13:15)
129106,510,07:30-17:45 (11:45-13:30)
129107,510,07:30-17:45 (12:00-13:45)
129108,510,07:30-17:45 (12:15-14:00)
129109,510,07:30-17:45 (12:30-14:15)
129110,510,07:30-18:00 (11:00-13:00)
129111,510,07:30-18:00 (11:15-13:15)
129112,510,07:30-18:00 (11:30-13:30)
129113,510,07:30-18:00 (11:45-13:45)
129114,510,07:30-18:00 (12:00-14:00)
129115,510,07:30-18:00 (12:15-14:15)
129116,510,07:30-18:00 (12:30-14:30)
129117,525,07:30-16:45 (11:15-11:45)
129118,525,07:30-16:45 (11:30-12:00)
129119,525,07:30-16:45 (11:45-12:15)
129120,525,07:30-16:45 (12:00-12:30)
129121,525,07:30-16:45 (12:15-12:45)
129122,525,07:30-16:45 (12:30-13:00)
129123,525,07:30-17:00 (11:15-12:00)
129124,525,07:30-17:00 (11:30-12:15)
129125,525,07:30-17:00 (11:45-12:30)
129126,525,07:30-17:00 (12:00-12:45)
129127,525,07:30-17:00 (12:15-13:00)
129128,525,07:30-17:00 (12:30-13:15)
129129,525,07:30-17:15 (11:15-12:15)
129130,525,07:30-17:15 (11:30-12:30)
129131,525,07:30-17:15 (11:45-12:45)
129132,525,07:30-17:15 (12:00-13:00)
129133,525,07:30-17:15 (12:15-13:15)
129134,525,07:30-17:15 (12:30-13:30)
129135,525,07:30-17:30 (11:15-12:30)
129136,525,07:30-17:30 (11:30-12:45)
129137,525,07:30-17:30 (11:45-13:00)
129138,525,07:30-17:30 (12:00-13:15)
129139,525,07:30-17:30 (12:15-13:30)
129140,525,07:30-17:30 (12:30-13:45)
129141,525,07:30-17:45 (11:15-12:45)
129142,525,07:30-17:45 (11:30-13:00)
129143,525,07:30-17:45 (11:45-13:15)
129144,525,07:30-17:45 (12:00-13:30)
129145,525,07:30-17:45 (12:15-13:45)
129146,525,07:30-17:45 (12:30-14:00)
129147,525,07:30-18:00 (11:15-13:00)
129148,525,07:30-18:00 (11:30-13:15)
129149,525,07:30-18:00 (11:45-13:30)
129150,525,07:30-18:00 (12:00-13:45)
129151,525,07:30-18:00 (12:15-14:00)
129152,525,07:30-18:00 (12:30-14:15)
129153,525,07:30-18:15 (11:15-13:15)
129154,525,07:30-18:15 (11:30-13:30)
129155,525,07:30-18:15 (11:45-13:45)
129156,525,07:30-18:15 (12:00-14:00)
129157,525,07:30-18:15 (12:15-14:15)
129158,525,07:30-18:15 (12:30-14:30)
129159,540,07:30-17:00 (11:30-12:00)
129160,540,07:30-17:00 (11:45-12:15)
129161,540,07:30-17:00 (12:00-12:30)
129162,540,07:30-17:00 (12:15-12:45)
129163,540,07:30-17:00 (12:30-13:00)
129164,540,07:30-17:15 (11:30-12:15)
129165,540,07:30-17:15 (11:45-12:30)
129166,540,07:30-17:15 (12:00-12:45)
129167,540,07:30-17:15 (12:15-13:00)
129168,540,07:30-17:15 (12:30-13:15)
129169,540,07:30-17:30 (11:30-12:30)
129170,540,07:30-17:30 (11:45-12:45)
129171,540,07:30-17:30 (12:00-13:00)
129172,540,07:30-17:30 (12:15-13:15)
129173,540,07:30-17:30 (12:30-13:30)
129174,540,07:30-17:45 (11:30-12:45)
129175,540,07:30-17:45 (11:45-13:00)
129176,540,07:30-17:45 (12:00-13:15)
129177,540,07:30-17:45 (12:15-13:30)
129178,540,07:30-17:45 (12:30-13:45)
129179,540,07:30-18:00 (11:30-13:00)
129180,540,07:30-18:00 (11:45-13:15)
129181,540,07:30-18:00 (12:00-13:30)
129182,540,07:30-18:00 (12:15-13:45)
129183,540,07:30-18:00 (12:30-14:00)
129184,540,07:30-18:15 (11:30-13:15)
129185,540,07:30-18:15 (11:45-13:30)
129186,540,07:30-18:15 (12:00-13:45)
129187,540,07:30-18:15 (12:15-14:00)
129188,540,07:30-18:15 (12:30-14:15)
129189,540,07:30-18:30 (11:30-13:30)
129190,540,07:30-18:30 (11:45-13:45)
129191,540,07:30-18:30 (12:00-14:00)
129192,540,07:30-18:30 (12:15-14:15)
129193,540,07:30-18:30 (12:30-14:30)
129194,555,07:30-17:15 (11:45-12:15)
129195,555,07:30-17:15 (12:00-12:30)
129196,555,07:30-17:15 (12:15-12:45)
129197,555,07:30-17:15 (12:30-13:00)
129198,555,07:30-17:30 (11:45-12:30)
129199,555,07:30-17:30 (12:00-12:45)
129200,555,07:30-17:30 (12:15-13:00)
129201,555,07:30-17:30 (12:30-13:15)
129202,555,07:30-17:45 (11:45-12:45)
129203,555,07:30-17:45 (12:00-13:00)
129204,555,07:30-17:45 (12:15-13:15)
129205,555,07:30-17:45 (12:30-13:30)
129206,555,07:30-18:00 (11:45-13:00)
129207,555,07:30-18:00 (12:00-13:15)
129208,555,07:30-18:00 (12:15-13:30)
129209,555,07:30-18:00 (12:30-13:45)
129210,555,07:30-18:15 (11:45-13:15)
129211,555,07:30-18:15 (12:00-13:30)
129212,555,07:30-18:15 (12:15-13:45)
129213,555,07:30-18:15 (12:30-14:00)
129214,555,07:30-18:30 (11:45-13:30)
129215,555,07:30-18:30 (12:00-13:45)
129216,555,07:30-18:30 (12:15-14:00)
129217,555,07:30-18:30 (12:30-14:15)
129218,555,07:30-18:45 (11:45-13:45)
129219,555,07:30-18:45 (12:00-14:00)
129220,555,07:30-18:45 (12:15-14:15)
129221,555,07:30-18:45 (12:30-14:30)
129222,570,07:30-17:30 (12:00-12:30)
129223,570,07:30-17:30 (12:15-12:45)
129224,570,07:30-17:30 (12:30-13:00)
129225,570,07:30-17:45 (12:00-12:45)
129226,570,07:30-17:45 (12:15-13:00)
129227,570,07:30-17:45 (12:30-13:15)
129228,570,07:30-18:00 (12:00-13:00)
129229,570,07:30-18:00 (12:15-13:15)
129230,570,07:30-18:00 (12:30-13:30)
129231,570,07:30-18:15 (12:00-13:15)
129232,570,07:30-18:15 (12:15-13:30)
129233,570,07:30-18:15 (12:30-13:45)
129234,570,07:30-18:30 (12:00-13:30)
129235,570,07:30-18:30 (12:15-13:45)
129236,570,07:30-18:30 (12:30-14:00)
129237,570,07:30-18:45 (12:00-13:45)
129238,570,07:30-18:45 (12:15-14:00)
129239,570,07:30-18:45 (12:30-14:15)
129240,570,07:30-19:00 (12:00-14:00)
129241,570,07:30-19:00 (12:15-14:15)
129242,570,07:30-19:00 (12:30-14:30)
129243,585,07:30-17:45 (12:15-12:45)
129244,585,07:30-17:45 (12:30-13:00)
129245,585,07:30-18:00 (12:15-13:00)
129246,585,07:30-18:00 (12:30-13:15)
129247,585,07:30-18:15 (12:15-13:15)
129248,585,07:30-18:15 (12:30-13:30)
129249,585,07:30-18:30 (12:15-13:30)
129250,585,07:30-18:30 (12:30-13:45)
129251,585,07:30-18:45 (12:15-13:45)
129252,585,07:30-18:45 (12:30-14:00)
129253,585,07:30-19:00 (12:15-14:00)
129254,585,07:30-19:00 (12:30-14:15)
129255,585,07:30-19:15 (12:15-14:15)
129256,585,07:30-19:15 (12:30-14:30)
129257,600,07:30-18:00 (12:30-13:00)
129258,600,07:30-18:15 (12:30-13:15)
129259,600,07:30-18:30 (12:30-13:30)
129260,600,07:30-18:45 (12:30-13:45)
129261,600,07:30-19:00 (12:30-14:00)
129262,600,07:30-19:15 (12:30-14:15)
129263,600,07:30-19:30 (12:30-14:30)
129264,180,07:45-10:45
129265,195,07:45-11:00
129266,210,07:45-11:15
129267,225,07:45-11:30
129268,240,07:45-11:45
129269,255,07:45-12:00
129270,270,07:45-12:15
129271,285,07:45-12:30
129272,300,07:45-12:45
129273,315,07:45-13:00
129274,330,07:45-13:15
129275,345,07:45-13:30
129276,360,07:45-13:45
129277,360,07:45-14:15 (09:45-10:15)
129278,360,07:45-14:15 (10:00-10:30)
129279,360,07:45-14:15 (10:15-10:45)
129280,360,07:45-14:15 (10:30-11:00)
129281,360,07:45-14:15 (10:45-11:15)
129282,360,07:45-14:15 (11:00-11:30)
129283,360,07:45-14:15 (11:15-11:45)
129284,360,07:45-14:15 (11:30-12:00)
129285,360,07:45-14:15 (11:45-12:15)
129286,360,07:45-14:30 (09:45-10:30)
129287,360,07:45-14:30 (10:00-10:45)
129288,360,07:45-14:30 (10:15-11:00)
129289,360,07:45-14:30 (10:30-11:15)
129290,360,07:45-14:30 (10:45-11:30)
129291,360,07:45-14:30 (11:00-11:45)
129292,360,07:45-14:30 (11:15-12:00)
129293,360,07:45-14:30 (11:30-12:15)
129294,360,07:45-14:30 (11:45-12:30)
129295,360,07:45-14:45 (09:45-10:45)
129296,360,07:45-14:45 (10:00-11:00)
129297,360,07:45-14:45 (10:15-11:15)
129298,360,07:45-14:45 (10:30-11:30)
129299,360,07:45-14:45 (10:45-11:45)
129300,360,07:45-14:45 (11:00-12:00)
129301,360,07:45-14:45 (11:15-12:15)
129302,360,07:45-14:45 (11:30-12:30)
129303,360,07:45-14:45 (11:45-12:45)
129304,360,07:45-15:00 (09:45-11:00)
129305,360,07:45-15:00 (10:00-11:15)
129306,360,07:45-15:00 (10:15-11:30)
129307,360,07:45-15:00 (10:30-11:45)
129308,360,07:45-15:00 (10:45-12:00)
129309,360,07:45-15:00 (11:00-12:15)
129310,360,07:45-15:00 (11:15-12:30)
129311,360,07:45-15:00 (11:30-12:45)
129312,360,07:45-15:00 (11:45-13:00)
129313,360,07:45-15:15 (09:45-11:15)
129314,360,07:45-15:15 (10:00-11:30)
129315,360,07:45-15:15 (10:15-11:45)
129316,360,07:45-15:15 (10:30-12:00)
129317,360,07:45-15:15 (10:45-12:15)
129318,360,07:45-15:15 (11:00-12:30)
129319,360,07:45-15:15 (11:15-12:45)
129320,360,07:45-15:15 (11:30-13:00)
129321,360,07:45-15:15 (11:45-13:15)
129322,360,07:45-15:30 (09:45-11:30)
129323,360,07:45-15:30 (10:00-11:45)
129324,360,07:45-15:30 (10:15-12:00)
129325,360,07:45-15:30 (10:30-12:15)
129326,360,07:45-15:30 (10:45-12:30)
129327,360,07:45-15:30 (11:00-12:45)
129328,360,07:45-15:30 (11:15-13:00)
129329,360,07:45-15:30 (11:30-13:15)
129330,360,07:45-15:30 (11:45-13:30)
129331,360,07:45-15:45 (09:45-11:45)
129332,360,07:45-15:45 (10:00-12:00)
129333,360,07:45-15:45 (10:15-12:15)
129334,360,07:45-15:45 (10:30-12:30)
129335,360,07:45-15:45 (10:45-12:45)
